price,title,address,cuisine,cuisineGroup,imagesCount,lat,lng,openingHours/0/day,openingHours/0/hours,openingHours/1/day,openingHours/1/hours,openingHours/2/day,openingHours/2/hours,openingHours/3/day,openingHours/3/hours,openingHours/4/day,openingHours/4/hours,openingHours/5/day,openingHours/5/hours,openingHours/6/day,openingHours/6/hours,phone,placeId,plusCode,postalCode,rank,reviewsCount,reviewsDistribution/fiveStar,reviewsDistribution/fourStar,reviewsDistribution/oneStar,reviewsDistribution/threeStar,reviewsDistribution/twoStar,searchPageUrl,locality,street,rating,url,website,reservationLink,Cash Vouchers,Buffet Deals,Set Deals
$$,Fusion Spoon,"102 Yuan Ching Rd, Singapore 618663",Fusion restaurant,Fusion,787,1.3408718,103.7249832,"Friday,",10AM to 9:30PM,"Saturday,",7AM to 10PM,"Sunday,",7AM to 10PM,"Monday,",Closed,"Tuesday,",10AM to 9:30PM,"Wednesday,",10AM to 9:30PM,"Thursday,",10AM to 9:30PM,+65 6969 1598,ChIJZVRiphwP2jER6m_Zma-V8rI,8PRF+8X Singapore,618663,112,505,142,159,94,75,35,"https://www.google.com/maps/search/Restaurants+in+Jurong/@1.4399979,103.8212306,12z/data=!4m2!2m1!6e5?hl=en",Jurong,102 Yuan Ching Rd,3.4,"https://www.google.com/maps/place/Fusion+Spoon/@1.3408718,103.7249832,17z/data=!3m1!4b1!4m5!3m4!1s0x31da0f1ca6625465:0xb2f295af99d96fea!8m2!3d1.3408718!4d103.7249832?hl=en",https://www.facebook.com/fusionspoon/,,,,
$$$$,Claudine Restaurant,"39C Harding Rd, Singapore 249541",French restaurant,French,1599,1.3048733,103.8135205,"Friday,","11:45AM to 2PM, 6 to 9PM","Saturday,","11:45AM to 2PM, 6 to 9PM","Sunday,",Closed,"Monday,",Closed,"Tuesday,","11:45AM to 2PM, 6 to 9PM","Wednesday,","11:45AM to 2PM, 6 to 9PM","Thursday,","11:45AM to 2PM, 6 to 9PM",+65 6265 2966,ChIJ-zvlIDQZ2jERQmjhYTdSKMg,8R37+WC Singapore,249541,50,224,145,48,6,20,5,"https://www.google.com/maps/search/Restaurants+in+Tanglin/@1.4399979,103.8212306,12z/data=!4m2!2m1!6e5?hl=en",Tanglin,39C Harding Rd,4.4,"https://www.google.com/maps/place/Claudine+Restaurant/@1.3048733,103.8135205,17z/data=!3m1!4b1!4m5!3m4!1s0x31da193420e53bfb:0xc828523761e16842!8m2!3d1.3048733!4d103.8135205?hl=en",https://www.claudinerestaurant.com/,,,,
$$$,Cook & Brew,"12 Marina View Asia Square Tower 2, Level 33 The Westin Singapore, Singapore 018961",Gastropub,Bar/Pub,671,1.2781724,103.8506873,"Friday,",11:30AM to 12AM,"Saturday,",11:30AM to 11PM,"Sunday,",11:30AM to 11PM,"Monday,",11:30AM to 11PM,"Tuesday,",11:30AM to 11PM,"Wednesday,",11:30AM to 11PM,"Thursday,",11:30AM to 11PM,+65 6922 6948,ChIJzV8SihEZ2jERWpgRyF2wE1k,7VH2+77 Singapore,18961,98,283,137,93,6,32,15,"https://www.google.com/maps/search/restaurants+in+Shenton+Way/@1.4399979,103.8212306,12z/data=!4m2!2m1!6e5?hl=en",Shenton Way,"12 Marina View Asia Square Tower 2, Level 33 The Westin Singapore",4.2,"https://www.google.com/maps/place/Cook+%26+Brew/@1.2781724,103.8506873,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19118a125fcd:0x5913b05dc811985a!8m2!3d1.2781724!4d103.8506873?hl=en",http://www.cookandbrewsingapore.com/?scid=bb1a189a-fec3-4d19-a255-54ba596febe2,https://book.chope.co/booking?rid=cookbrew1702cnb&source=aff_nibbles,,,
$$$,Seasonal Tastes,"12 Marina View Asia Square Tower 2 Level 32, The Westin, Singapore 018961",Seafood,Seafood,1459,1.2782743,103.850773,"Friday,",6:30AM to 2:30PM,"Saturday,",6:30 to 11AM,"Sunday,",6:30 to 11AM,"Monday,",6:30AM to 2:30PM,"Tuesday,",6:30AM to 2:30PM,"Wednesday,",6:30AM to 2:30PM,"Thursday,",6:30AM to 2:30PM,+65 6922 6968,ChIJzV8SihEZ2jER0cBo1FYI8c4,7VH2+88 Singapore,18961,119,525,216,172,25,94,18,"https://www.google.com/maps/search/restaurants+in+Shenton+Way/@1.4399979,103.8212306,12z/data=!4m2!2m1!6e5?hl=en",Shenton Way,"12 Marina View Asia Square Tower 2 Level 32, The Westin",4,"https://www.google.com/maps/place/Seasonal+Tastes/@1.2782743,103.850773,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19118a125fcd:0xcef10856d468c0d1!8m2!3d1.2782743!4d103.850773?hl=en",https://www.seasonaltastessingapore.com/,https://book.chope.co/booking?rid=seasonaltastes1608sta&source=aff_nibbles,,https://shop.chope.co/products/seasonal-tastes-2#N/A-off-seasonal-taste-buffet-for-1-pax?aff=566&utm_campaign=sg-affiliate-nibbles&utm_source=aff_nibbles&utm_medium=affiliate,
$$ - $$$,Restaurant Ibid,"18 N Canal Rd, Singapore 048830",Asian fusion restaurant,Fusion,1793,1.2864337,103.8483365,"Friday,",7 to 11PM,"Saturday,",7 to 11PM,"Sunday,",Closed,"Monday,",Closed,"Tuesday,",7 to 11PM,"Wednesday,",7 to 11PM,"Thursday,",7 to 11PM,+65 9151 8698,ChIJzUZNrgsZ2jER2epSYaG6Gyg,7RPX+H8 Singapore,48830,93,642,595,31,3,11,2,"https://www.google.com/maps/search/restaurants+in+Boat+Quay/@1.4399979,103.8212306,12z/data=!4m2!2m1!6e5?hl=en",Boat Quay ,18 N Canal Rd,4.9,"https://www.google.com/maps/place/Restaurant+Ibid/@1.2864337,103.8483365,17z/data=!3m1!4b1!4m5!3m4!1s0x31da190bae4d46cd:0x281bbaa16152ead9!8m2!3d1.2863647!4d103.8483034?hl=en",https://www.restaurantibid.com/,,,,
$$ - $$$,London Fat Duck,"10 Paya Lebar Rd, B2-25 PLQ Mall, Singapore 409057",Chinese,Chinese,370,1.3172155,103.8926803,"Saturday,",11AM to 9:30PM,"Sunday,",11AM to 9:30PM,"Monday,","11:30AM to 3PM, 5:30 to 9:30PM","Tuesday,","11:30AM to 3PM, 5:30 to 9:30PM","Wednesday,","11:30AM to 3PM, 5:30 to 9:30PM","Thursday,","11:30AM to 3PM, 5:30 to 9:30PM","Friday,","11:30AM to 3PM, 5:30 to 9:30PM",+65 6972 3825,ChIJZUkjq6MZ2jEROAHSln7zW2g,8V8V+V3 Singapore,409057,44,142,37,44,19,32,10,"https://www.google.com/maps/search/restaurants+in+Paya+Lebar/@1.4399979,103.8212306,12z/data=!4m2!2m1!6e5?hl=en",Paya Lebar,"10 Paya Lebar Rd, B2-25 PLQ Mall",3.5,"https://www.google.com/maps/place/London+Fat+Duck/@1.3172155,103.8926803,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19a3ab234965:0x685bf37e96d20138!8m2!3d1.3172155!4d103.8926803?hl=en",https://www.londonfatduck.com.sg/,https://book.chope.co/booking?rid=londonfatduckscottssquare2202sg&source=aff_nibbles,,,
$$,Maccha House @ Orchard Central,"181 Orchard Rd, Singapore 238896",Japanese restaurant,Japanese,1284,1.3008682,103.8392178,"Saturday,",11AM to 10PM,"Sunday,",11AM to 10PM,"Monday,",11AM to 10PM,"Tuesday,",11AM to 10PM,"Wednesday,",11AM to 10PM,"Thursday,",11AM to 10PM,"Friday,",11AM to 10PM,+65 6636 5830,ChIJZU_42JYZ2jERGbTS1AtJEIQ,8R2Q+8M Singapore,238896,97,585,236,188,51,84,26,"https://www.google.com/maps/search/Restaurants+in+Orchard+Road/@1.4399979,103.8212306,12z/data=!4m2!2m1!6e5?hl=en",Orchard Road,181 Orchard Rd,3.9,"https://www.google.com/maps/place/Maccha+House+@+Orchard+Central/@1.3008682,103.8392178,17z/data=!3m1!4b1!4m5!3m4!1s0x31da1996d8f84f65:0x8410490bd4d2b419!8m2!3d1.3008682!4d103.8392178?hl=en",https://www.facebook.com/macchahouse.sg/,,,,
$$,Muddy Murphy's Irish Pub,"442 Orchard Road #01-02 to 05 Claymore Connect, Singapore 238879",Irish pub,Bar/Pub,1772,1.3074953,103.828947,"Saturday,",12PM to 12AM,"Sunday,",12PM to 12AM,"Monday,",3PM to 12AM,"Tuesday,",3PM to 12AM,"Wednesday,",3PM to 12AM,"Thursday,",3PM to 12AM,"Friday,",11:30AM to 12AM,+65 9396 6134,ChIJ-ZtvtowZ2jERyywaJQ_r4DU,8R4H+XH Singapore,238879,120,881,470,304,14,74,19,"https://www.google.com/maps/search/Restaurants+in+Orchard+Road/@1.4399979,103.8212306,12z/data=!4m2!2m1!6e5?hl=en",Orchard Road,442 Orchard Road #01-02 to 05 Claymore Connect,4.4,"https://www.google.com/maps/place/Muddy+Murphy's+Irish+Pub/@1.3074953,103.828947,17z/data=!3m1!4b1!4m5!3m4!1s0x31da198cb66f9bf9:0x35e0eb0f251a2ccb!8m2!3d1.3074953!4d103.828947?hl=en",http://muddymurphys.com/,,,,
$$ - $$$,Enjoy Eating House and Bar,"30 Stevens Rd, #01-07, Singapore 257840",Singaporean restaurant,Singaporean,1161,1.3137539,103.8282469,"Friday,",12PM to 12AM,"Saturday,",11AM to 12AM,"Sunday,",11AM to 12AM,"Monday,",12PM to 12AM,"Tuesday,",12PM to 12AM,"Wednesday,",12PM to 12AM,"Thursday,",12PM to 12AM,+65 8511 1478,ChIJzToAJoAZ2jERJPijXPaKjR8,8R7H+G7 Singapore,257840,25,231,151,55,5,14,6,"https://www.google.com/maps/search/Restaurants+in+Tanglin/@1.4151913,104.4600889,12z/data=!4m2!2m1!6e5?hl=en",Tanglin,"30 Stevens Rd, #01-07",4.5,"https://www.google.com/maps/place/Enjoy+Eating+House+and+Bar/@1.3137539,103.8282469,17z/data=!3m1!4b1!4m5!3m4!1s0x31da198026003acd:0x1f8d8af65ca3f824!8m2!3d1.3137539!4d103.8282469?hl=en",http://www.enjoyeating.sg/,https://book.chope.co/booking?rid=enjoyeatinghousebar1901sg&source=aff_nibbles,,,
$$,Pizza Hut HarbourFront Centre,"1 Maritime Square, #01-69 HarbourFront Centre, Singapore 099253",Pizza restaurant,Italian,96,1.2652601,103.8199978,"Friday,",11AM to 10PM,"Saturday,",11AM to 10PM,"Sunday,",11AM to 10PM,"Monday,",11AM to 10PM,"Tuesday,",11AM to 10PM,"Wednesday,",11AM to 10PM,"Thursday,",11AM to 10PM,+65 6274 4355,ChIJZTd8Z-Ib2jERTY2VbzE2c2c,7R89+4X Singapore,99253,39,271,126,67,26,46,6,"https://www.google.com/maps/search/Restaurants+in+Harbourfront/@1.4151913,104.4600889,12z?hl=en",Harbourfront,"1 Maritime Square, #01-69 HarbourFront Centre",4,"https://www.google.com/maps/place/Pizza+Hut+HarbourFront+Centre/@1.2652601,103.8199978,17z/data=!3m1!4b1!4m5!3m4!1s0x31da1be2677c3765:0x677336316f958d4d!8m2!3d1.2652601!4d103.8199978?hl=en",http://www.pizzahut.com.sg/?y_source=1_MjAzNDUzNDktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,,,,
$$,Harry's HarbourFront,"1 Maritime Square, #01-64 HarbourFront Centre, Singapore 099253",Western Restaurant,Western,450,1.2650072,103.8200037,"Friday,",11:30AM to 12AM,"Saturday,",11:30AM to 12AM,"Sunday,",11:30AM to 11PM,"Monday,",11:30AM to 11PM,"Tuesday,",11:30AM to 11PM,"Wednesday,",11:30AM to 11PM,"Thursday,",11:30AM to 11PM,+65 8268 8090,ChIJZTd8Z-Ib2jERk7Pn4HyY-7M,7R8C+22 Singapore,99253,1,701,340,216,22,99,24,"https://www.google.com/maps/search/Restaurants+in+Harbourfront/@1.4399979,103.8212306,12z?hl=en",Harbourfront,"1 Maritime Square, #01-64 HarbourFront Centre",4.2,"https://www.google.com/maps/place/Harry's+HarbourFront/@1.2650072,103.8200037,17z/data=!3m1!4b1!4m5!3m4!1s0x31da1be2677c3765:0xb3fb987ce0e7b393!8m2!3d1.2650072!4d103.8200037?hl=en",http://harrys.com.sg/,https://book.chope.co/booking?rid=harrysharbourfront1909sg&source=aff_nibbles,,,
$$,Pastamania,"1 Maritime Square, #02-05/06/07 HarbourFront Centre, Singapore 099253",Italian restaurant,Italian,139,1.2638161,103.8203069,"Saturday,",11AM to 10PM,"Sunday,",11AM to 10PM,"Monday,",11AM to 10PM,"Tuesday,",11AM to 10PM,"Wednesday,",11AM to 10PM,"Thursday,",11AM to 10PM,"Friday,",11AM to 10PM,+65 6274 9182,ChIJZTd8Z-Ib2jERbWmTLXef5Mk,7R7C+G4 Singapore,99253,77,214,79,56,25,34,20,"https://www.google.com/maps/search/restaurants+in+Keppel/@1.4399979,103.8212306,12z/data=!4m2!2m1!6e5?hl=en",Keppel ,"1 Maritime Square, #02-05/06/07 HarbourFront Centre",3.7,"https://www.google.com/maps/place/Pastamania/@1.2638161,103.8203069,17z/data=!3m1!4b1!4m5!3m4!1s0x31da1be2677c3765:0xc9e49f772d93696d!8m2!3d1.2638161!4d103.8203069?hl=en",https://www.pastamania.com.sg/,,https://shop.chope.co/products/pastamania?aff=566&utm_campaign=sg-affiliate-nibbles&utm_source=aff_nibbles&utm_medium=affiliate,,
$,McDonald's Harbour Front Centre,"01-87, #01-88 and #01-89 1, Maritime Square, Harbourfront Centre, Singapore 099253",Hamburger restaurant,American,207,1.2642175,103.8203582,"Friday,",7AM to 11PM,"Saturday,",7AM to 11PM,"Sunday,",7AM to 10PM,"Monday,",7AM to 10PM,"Tuesday,",7AM to 10PM,"Wednesday,",7AM to 10PM,"Thursday,",7AM to 10PM,+65 6777 3777,ChIJZTd8Z-Ib2jER7gmpwtC56t4,7R7C+M4 Singapore,99253,22,1984,969,620,62,279,54,"https://www.google.com/maps/search/Restaurants+in+Harbourfront/@1.4151913,104.4600889,12z?hl=en",Harbourfront,"01-87, #01-88 and #01-89 1, Maritime Square, Harbourfront Centre",4.2,"https://www.google.com/maps/place/McDonald's+Harbour+Front+Centre/@1.2642175,103.8203582,17z/data=!3m1!4b1!4m5!3m4!1s0x31da1be2677c3765:0xdeeab9d0c2a909ee!8m2!3d1.2642175!4d103.8203582?hl=en",https://www.mcdonalds.com.sg/,,,,
$$ - $$$,Tuckshop,"1 Maritime Square, Singapore 099253",Cafe,Cafe/Bakery,82,1.2638895,103.8198937,"Friday,",11AM to 10PM,"Saturday,",11AM to 10PM,"Sunday,",11AM to 10PM,"Monday,",11AM to 10PM,"Tuesday,",11AM to 10PM,"Wednesday,",11AM to 10PM,"Thursday,",11AM to 10PM,+65 6275 9161,ChIJZTd8Z-Ib2jER4opOpa8WrOA,7R79+HX Singapore,99253,3,37,11,11,5,7,3,"https://www.google.com/maps/search/Restaurants+in+Harbourfront/@1.4399979,103.8212306,12z?hl=en",Harbourfront,1 Maritime Square,3.5,"https://www.google.com/maps/place/Tuckshop/@1.2638895,103.8198937,17z/data=!3m1!4b1!4m5!3m4!1s0x31da1be2677c3765:0xe0ac16afa54e8ae2!8m2!3d1.2638895!4d103.8198937?hl=en",,,,,
$$$$,Spago Bar & Lounge,"Sands SkyPark, Tower 2 Level 57 Access from Hotel Lobby Tower, #2, Singapore 018956",Bar,Bar/Pub,2144,1.2834549,103.8606072,"Saturday,","7 to 10:30am, 12 to 11:30pm","Sunday,","7 to 10:30am, 12 to 11pm","Monday,","7 to 10:30am, 12 to 11pm","Tuesday,","7 to 10:30am, 12 to 11pm","Wednesday,","7 to 10:30am, 12 to 11pm","Thursday,","7 to 10:30am, 12 to 11pm","Friday,","7 to 10:30am, 12 to 11:30pm",+65 6688 9955,ChIJzSJ8sqUZ2jERhcMMxmiPNuc,7VM6+96 Singapore,18956,34,528,358,116,22,22,10,"https://www.google.com/maps/search/Restaurants+in+Marina+Bay/@1.4399979,103.8212306,12z/data=!4m2!2m1!6e5?hl=en",Marina Bay,"Sands SkyPark, Tower 2 Level 57 Access from Hotel Lobby Tower, #2",4.5,"https://www.google.com/maps/place/Spago+Bar+%26+Lounge/@1.2834549,103.8606072,17z/data=!3m1!4b1!4m5!3m4!1s0x31da19a5b27c22cd:0xe7368f68c60cc385!8m2!3d1.2834549!4d103.8606072?hl=en",https://www.marinabaysands.com/restaurants/spago-bar-and-lounge.html/?utm_source=google&utm_medium=GMB&utm_campaign=spago_bar_info_main,,,,
